"LON" "LAT"
NA NA
-3.02997 54.9834
-3.07216 54.9801
-3.11428 54.9655
-3.07487 54.964
-3.03541 54.9543
-3.02122 54.935
-3.04381 54.9462
-3.09164 54.9445
-3.12535 54.9348
-3.17605 54.9427
-3.20988 54.9524
-3.24364 54.9507
-3.28016 54.9393
-3.29977 54.9263
-3.26876 54.9167
-3.25457 54.8989
-3.27975 54.8746
-3.32485 54.8858
-3.35861 54.8841
-3.36436 54.9035
-3.39235 54.8808
-3.41753 54.8565
-3.42863 54.8321
-3.43131 54.811
-3.43393 54.7802
-3.4507 54.7623
-3.46467 54.746
-3.48992 54.733
-3.52635 54.7085
-3.55149 54.6792
-3.56539 54.6515
-3.57371 54.632
-3.57636 54.6059
-3.58465 54.5814
-3.60417 54.5536
-3.62648 54.5209
-3.60382 54.4981
-3.57558 54.4818
-3.54445 54.4541
-3.52463 54.4361
-3.50193 54.4067
-3.49056 54.3887
-3.47076 54.3723
-3.44254 54.3593
-3.41163 54.3676
-3.38619 54.3496
-3.39731 54.3266
-3.41126 54.3085
-3.41959 54.2904
-3.3884 54.2527
-3.36575 54.2314
-3.35439 54.2149
-3.33461 54.2018
-3.29242 54.2052
-3.26148 54.2085
-3.25323 54.2382
-3.23646 54.2579
-3.23097 54.2793
-3.20834 54.2613
-3.20256 54.2366
-3.21368 54.2152
-3.23602 54.1872
-3.24152 54.1658
-3.23011 54.1411
-3.20187 54.1263
-3.18767 54.1049
-3.14268 54.1116
-3.11746 54.1281
-3.07823 54.1562
-3.05875 54.1909
-3.05052 54.2254
-3.04783 54.2452
-3.01957 54.2255
-3.01101 54.2074
-2.9856 54.1943
-2.98827 54.1713
-2.94886 54.1697
-2.91519 54.1862
-2.89002 54.211
-2.86197 54.2258
-2.82549 54.2424
-2.81434 54.2605
-2.78332 54.249
-2.79442 54.2243
-2.83086 54.2012
-2.83638 54.1831
-2.81374 54.1634
-2.77989 54.1503
-2.79096 54.1206
-2.83576 54.0842
-2.86378 54.0643
-2.89463 54.0477
-2.89167 54.0246
-2.86348 54.0164
-2.84392 54.0396
-2.82998 54.0594
-2.81578 54.0396
-2.82126 54.0148
-2.81833 53.9966
-2.86046 53.9833
-2.83783 53.9651
-2.87151 53.9502
-2.92216 53.9484
-2.97838 53.9384
-2.96971 53.9019
-2.95829 53.8754
-2.98092 53.8936
-3.00633 53.9068
-3.02333 53.9267
-3.04569 53.9017
-3.04552 53.8736
-3.04816 53.8453
-3.04802 53.8221
-3.03659 53.7955
-3.0252 53.7739
-2.97723 53.7524
-2.94065 53.7542
-2.87874 53.7543
-2.84777 53.751
-2.80852 53.776
-2.7635 53.7778
-2.78308 53.7578
-2.81677 53.7444
-2.88131 53.7143
-2.93465 53.6926
-2.97398 53.6824
-2.9936 53.6691
-3.0216 53.6457
-3.04118 53.6273
-3.06074 53.6039
-3.0803 53.5804
-3.07444 53.5437
-3.05744 53.5253
-3.0489 53.5086
-3.0319 53.4902
-3.00648 53.4752
-2.99225 53.4501
-2.98648 53.4267
-2.97232 53.4116
-2.96377 53.3948
-2.93556 53.3831
-2.90735 53.3714
-2.87634 53.3631
-2.82841 53.3498
-2.79182 53.3482
-2.73287 53.3718
-2.74681 53.3517
-2.75794 53.3298
-2.76626 53.3096
-2.80563 53.3062
-2.845 53.301
-2.89284 53.3009
-2.9295 53.3126
-2.95216 53.3361
-2.99749 53.3864
-3.00322 53.4031
-3.01458 53.4199
-3.02031 53.4366
-3.05133 53.4466
-3.085 53.4298
-3.12716 53.4213
-3.16925 53.4011
-3.1662 53.3625
-3.15203 53.3457
-3.1322 53.3256
-3.09268 53.3055
-3.06444 53.2887
-3.03048 53.2585
-3.02473 53.2383
-3.06412 53.2366
-3.10363 53.255
-3.15449 53.2885
-3.19963 53.307
-3.22504 53.3204
-3.26458 53.3421
-3.28721 53.3622
-3.32102 53.3689
-3.34911 53.3604
-3.38 53.3486
-3.42496 53.3384
-3.45022 53.3266
-3.48956 53.3164
-3.54018 53.3113
-3.56828 53.3045
-3.61331 53.3044
-3.67524 53.3076
-3.71468 53.3143
-3.74567 53.3192
-3.81614 53.3376
-3.82442 53.3106
-3.79326 53.2771
-3.85248 53.2971
-3.88618 53.2853
-3.91709 53.2785
-3.94517 53.2683
-3.99292 53.2531
-4.04073 53.2479
-4.08572 53.2411
-4.11095 53.2259
-4.13907 53.2224
-4.17 53.2173
-4.20365 53.197
-4.22322 53.1767
-4.24847 53.1632
-4.30447 53.1175
-4.33816 53.1039
-4.34078 53.0718
-4.33784 53.0515
-4.36589 53.0362
-4.39112 53.0192
-4.43048 53.0124
-4.45289 52.9954
-4.47529 52.9767
-4.50049 52.9563
-4.53989 52.9562
-4.61292 52.9323
-4.65219 52.9119
-4.6802 52.8897
-4.71379 52.8591
-4.73053 52.8353
-4.74451 52.8199
-4.74153 52.7927
-4.68817 52.8115
-4.64315 52.8133
-4.61793 52.8304
-4.587 52.8356
-4.53908 52.8221
-4.52486 52.7966
-4.49398 52.8103
-4.49416 52.8392
-4.47462 52.8664
-4.43821 52.8954
-4.39326 52.9073
-4.35947 52.9057
-4.32854 52.9092
-4.29485 52.9228
-4.26107 52.9212
-4.19921 52.9298
-4.14854 52.9282
-4.11198 52.9317
-4.07826 52.9403
-4.01919 52.9455
-4.04444 52.9319
-4.06403 52.9149
-4.08647 52.9012
-4.11732 52.8842
-4.13127 52.8638
-4.1227 52.8434
-4.11695 52.823
-4.1168 52.7975
-4.09699 52.7805
-4.06307 52.7551
-4.02358 52.7398
-3.98144 52.7518
-3.92238 52.7588
-3.94762 52.7451
-4.00378 52.7228
-4.03468 52.7142
-4.05988 52.692
-4.08787 52.668
-4.09619 52.6475
-4.10449 52.6236
-4.07351 52.6203
-4.08466 52.6014
-4.07043 52.5758
-4.04502 52.5622
-4.00559 52.5571
-3.97467 52.5624
-3.92399 52.559
-3.96053 52.5504
-3.98857 52.5349
-4.03355 52.5263
-4.05029 52.5023
-4.06138 52.4748
-4.06396 52.4354
-4.07226 52.4113
-4.08894 52.3769
-4.10853 52.358
-4.11687 52.3408
-4.14483 52.3115
-4.18125 52.2839
-4.23177 52.2597
-4.25703 52.2493
-4.31886 52.2353
-4.34696 52.2284
-4.40589 52.1989
-4.45075 52.1712
-4.48156 52.147
-4.54344 52.1399
-4.59128 52.1398
-4.62504 52.138
-4.65316 52.1345
-4.65867 52.1155
-4.70375 52.124
-4.71771 52.105
-4.75133 52.079
-4.78779 52.0581
-4.80736 52.0373
-4.88331 52.0302
-4.94793 52.0128
-4.97616 52.0283
-5.04927 52.0177
-5.0604 51.9952
-5.07998 51.9761
-5.12491 51.9586
-5.18117 51.955
-5.20646 51.948
-5.24294 51.9306
-5.27947 51.9219
-5.28499 51.9028
-5.28488 51.8854
-5.26229 51.8715
-5.22857 51.8803
-5.18354 51.8804
-5.15537 51.8753
-5.11031 51.8701
-5.09047 51.8459
-5.0875 51.8198
-5.09015 51.7919
-5.14076 51.7849
-5.17443 51.7674
-5.20809 51.7481
-5.18829 51.7308
-5.16567 51.7134
-5.14586 51.6942
-5.13753 51.7134
-5.11508 51.7239
-5.08137 51.7345
-5.02783 51.7224
-4.99962 51.712
-4.95739 51.7086
-4.91245 51.7244
-4.8788 51.7437
-4.86182 51.728
-4.88143 51.7122
-4.92637 51.6982
-4.94876 51.6772
-4.97134 51.6876
-5.00795 51.6928
-5.05018 51.6944
-5.07557 51.7048
-5.09516 51.6874
-5.05009 51.6805
-5.03587 51.6543
-4.99357 51.6405
-4.95693 51.6301
-4.90341 51.6214
-4.87256 51.6407
-4.83883 51.6478
-4.79943 51.6479
-4.77132 51.6532
-4.74042 51.662
-4.7011 51.676
-4.67301 51.6848
-4.66752 51.7075
-4.65079 51.7354
-4.61142 51.739
-4.56361 51.7444
-4.52704 51.7479
-4.48482 51.7463
-4.44824 51.7481
-4.42864 51.7638
-4.43442 51.7899
-4.46279 51.8281
-4.43453 51.8091
-4.40907 51.7865
-4.3893 51.7744
-4.36414 51.8023
-4.33886 51.811
-4.34716 51.7867
-4.35543 51.757
-4.33566 51.7449
-4.31028 51.7362
-4.3242 51.7118
-4.31846 51.6926
-4.28468 51.6909
-4.22559 51.6928
-4.19746 51.6946
-4.16075 51.6738
-4.12416 51.6721
-4.09335 51.6966
-4.05959 51.6984
-4.06221 51.6653
-4.08183 51.653
-4.11555 51.6442
-4.16056 51.6406
-4.19416 51.6108
-4.22242 51.6317
-4.27301 51.6211
-4.28411 51.5931
-4.25576 51.5582
-4.22475 51.5495
-4.19382 51.5531
-4.15723 51.5532
-4.13485 51.576
-4.10679 51.59
-4.07577 51.5796
-4.0505 51.5884
-4.02779 51.5552
-4.00262 51.5833
-3.97173 51.5938
-3.96621 51.6131
-3.90717 51.622
-3.86494 51.6203
-3.83968 51.6308
-3.80859 51.6082
-3.77468 51.5856
-3.74351 51.5489
-3.73215 51.5314
-3.72359 51.5104
-3.68128 51.4948
-3.65031 51.4931
-3.60525 51.4862
-3.58825 51.4669
-3.56842 51.4442
-3.54862 51.4284
-3.51761 51.418
-3.48096 51.4075
-3.42745 51.4006
-3.35707 51.3973
-3.3008 51.3992
-3.25862 51.4045
-3.22769 51.4099
-3.17712 51.424
-3.15192 51.4469
-3.15205 51.4679
-3.12411 51.503
-3.09597 51.5031
-3.0622 51.5032
-3.04262 51.5242
-2.98926 51.5436
-2.96408 51.5681
-2.93583 51.549
-2.90766 51.5455
-2.85428 51.5596
-2.81493 51.5685
-2.78121 51.5773
-2.73065 51.5932
-2.68848 51.602
-2.66604 51.6143
-2.65207 51.6318
-2.60727 51.6703
-2.58765 51.6826
-2.56247 51.7088
-2.53162 51.7263
-2.49518 51.7508
-2.46711 51.763
-2.41654 51.7788
-2.43916 51.7962
-2.43363 51.8136
-2.39149 51.8259
-2.37172 51.8137
-2.35774 51.8294
-2.32687 51.8434
-2.33237 51.8225
-2.3407 51.8034
-2.38571 51.7998
-2.4024 51.7666
-2.41636 51.7475
-2.44165 51.7404
-2.47255 51.7316
-2.50058 51.7124
-2.54534 51.667
-2.57899 51.6459
-2.60418 51.6232
-2.62378 51.6057
-2.6321 51.5846
-2.65731 51.5654
-2.67126 51.5443
-2.66825 51.5111
-2.73013 51.5057
-2.77235 51.5056
-2.8088 51.4827
-2.82841 51.4686
-2.8592 51.4405
-2.88161 51.4212
-2.9124 51.393
-2.94342 51.4035
-2.9658 51.3806
-2.96285 51.3578
-2.95135 51.3174
-2.9823 51.3155
-3.0046 51.2785
-2.99605 51.2609
-2.99595 51.2433
-3.0155 51.2168
-3.04931 51.2238
-3.0802 51.2132
-3.11401 51.2201
-3.14778 51.2201
-3.20959 51.2023
-3.26866 51.1969
-3.30244 51.1985
-3.34743 51.1914
-3.37561 51.1984
-3.40374 51.1965
-3.44609 51.2194
-3.49964 51.2334
-3.55596 51.2385
-3.60094 51.2314
-3.63754 51.233
-3.67694 51.233
-3.7079 51.2346
-3.73328 51.2434
-3.77833 51.2468
-3.81493 51.2485
-3.86276 51.2466
-3.89369 51.243
-3.92462 51.2377
-3.97804 51.2287
-4.03146 51.2216
-4.07086 51.2215
-4.12713 51.2178
-4.15235 51.2001
-4.19173 51.1965
-4.19726 51.1789
-4.21123 51.1629
-4.20543 51.133
-4.19963 51.1029
-4.16303 51.1013
-4.13488 51.0995
-4.11511 51.0872
-4.14599 51.0748
-4.17408 51.0641
-4.18824 51.08
-4.22748 51.0534
-4.28075 51.0179
-4.34538 51.0018
-4.38767 51.0141
-4.42714 51.0264
-4.49187 51.028
-4.52842 51.0208
-4.53373 50.9659
-4.53632 50.9269
-4.54743 50.902
-4.5473 50.8789
-4.54706 50.8381
-4.54685 50.8025
-4.56639 50.774
-4.6085 50.7561
-4.62812 50.7418
-4.65049 50.7168
-4.6842 50.7061
-4.71788 50.6917
-4.74591 50.672
-4.7458 50.6524
-4.74845 50.6239
-4.77371 50.6113
-4.81306 50.6041
-4.84399 50.5986
-4.88621 50.6003
-4.8889 50.5789
-4.88036 50.561
-4.85215 50.5504
-4.89432 50.5413
-4.92545 50.5717
-4.97041 50.5608
-4.99283 50.5447
-5.00956 50.5178
-5.02069 50.4945
-5.02058 50.4766
-5.04007 50.4389
-5.071 50.4353
-5.11312 50.4191
-5.14958 50.3956
-5.14385 50.3777
-5.15782 50.3615
-5.18868 50.3435
-5.21393 50.3309
-5.21663 50.3111
-5.23905 50.2931
-5.28119 50.2804
-5.31764 50.2569
-5.36266 50.2568
-5.371 50.2388
-5.39616 50.2081
-5.40449 50.1883
-5.46093 50.2152
-5.54256 50.2186
-5.57908 50.2077
-5.60999 50.1986
-5.63806 50.1859
-5.67735 50.1678
-5.67444 50.1498
-5.68273 50.1245
-5.68258 50.0975
-5.67965 50.0776
-5.66546 50.056
-5.62608 50.0597
-5.58956 50.0706
-5.55863 50.0761
-5.53619 50.0888
-5.52224 50.1105
-5.51391 50.1303
-5.4887 50.1502
-5.45491 50.1467
-5.42106 50.1342
-5.38443 50.1252
-5.35907 50.1199
-5.33089 50.1127
-5.29987 50.102
-5.25753 50.0804
-5.22914 50.0371
-5.22054 50.0082
-5.17257 49.9866
-5.15024 50.0192
-5.12781 50.0337
-5.09403 50.032
-5.05755 50.0502
-5.04925 50.0755
-5.0691 50.1025
-5.10577 50.1169
-5.08048 50.1241
-5.06098 50.1585
-5.06673 50.1801
-5.03582 50.1874
-5.04729 50.2251
-5.01922 50.2378
-5.01652 50.2576
-4.9602 50.2523
-4.97132 50.2271
-4.98524 50.2019
-4.97109 50.1875
-4.94308 50.211
-4.90652 50.2147
-4.86165 50.2436
-4.80544 50.2563
-4.77179 50.278
-4.7607 50.3068
-4.75801 50.3283
-4.74407 50.3517
-4.71316 50.359
-4.67377 50.3609
-4.6456 50.3555
-4.63443 50.3717
-4.60617 50.3503
-4.54144 50.3504
-4.5133 50.3505
-4.47112 50.3559
-4.38967 50.3848
-4.34746 50.385
-4.28553 50.3833
-4.23195 50.3637
-4.21778 50.3458
-4.19533 50.3584
-4.18984 50.3817
-4.19837 50.3979
-4.19568 50.4194
-4.17027 50.4051
-4.14198 50.3783
-4.09674 50.3407
-4.0516 50.3228
-4.02901 50.3085
-4.00374 50.3193
-3.95876 50.3266
-3.93348 50.3356
-3.9024 50.3142
-3.86297 50.3089
-3.85154 50.2783
-3.85425 50.2603
-3.82882 50.2424
-3.79502 50.2371
-3.77844 50.2911
-3.753 50.2714
-3.75285 50.2444
-3.7274 50.2228
-3.66284 50.2536
-3.66014 50.2734
-3.6518 50.2914
-3.64629 50.3112
-3.63514 50.331
-3.60145 50.3436
-3.56772 50.3509
-3.53119 50.3617
-3.51161 50.3815
-3.51175 50.4066
-3.53723 50.4335
-3.543 50.4585
-3.54595 50.4818
-3.51214 50.4747
-3.50382 50.4962
-3.50394 50.5177
-3.5126 50.5553
-3.49872 50.5875
-3.47072 50.6125
-3.454 50.6411
-3.45973 50.659
-3.45994 50.6964
-3.44017 50.684
-3.42591 50.6501
-3.39199 50.6252
-3.34983 50.6342
-3.31618 50.6557
-3.29373 50.6665
-3.25166 50.6916
-3.20668 50.6988
-3.16168 50.7042
-3.11383 50.7026
-3.07733 50.7169
-3.00693 50.71
-2.99014 50.726
-2.95638 50.7279
-2.93677 50.744
-2.89459 50.7494
-2.84668 50.7388
-2.78759 50.739
-2.76221 50.7301
-2.73402 50.7231
-2.69738 50.7124
-2.66348 50.6911
-2.63529 50.6823
-2.60988 50.6681
-2.56765 50.6646
-2.54786 50.6486
-2.51963 50.6344
-2.48851 50.6059
-2.46594 50.5952
-2.45452 50.5684
-2.44597 50.5488
-2.4179 50.5614
-2.42646 50.5828
-2.43792 50.6167
-2.44085 50.6381
-2.42125 50.6543
-2.37623 50.6561
-2.33958 50.6455
-2.31141 50.6402
-2.27481 50.6367
-2.22134 50.6369
-2.19037 50.6351
-2.1594 50.6334
-2.11717 50.63
-2.08056 50.6265
-2.05518 50.6176
-2.04663 50.598
-1.99608 50.616
-1.92011 50.6197
-1.92585 50.6393
-1.91753 50.6608
-1.93175 50.6857
-1.9768 50.6892
-2.03874 50.6944
-2.03045 50.7211
-2.06153 50.7424
-2.0165 50.7425
-1.99124 50.7533
-1.96025 50.748
-1.91512 50.7303
-1.87575 50.7357
-1.84765 50.7429
-1.80824 50.7412
-1.76038 50.7378
-1.7633 50.7556
-1.72112 50.761
-1.69297 50.7611
-1.65636 50.7558
-1.59725 50.7542
-1.56623 50.7436
-1.52419 50.7739
-1.49607 50.7775
-1.46239 50.7936
-1.42023 50.8026
-1.38085 50.8063
-1.33304 50.8117
-1.31629 50.8349
-1.36714 50.8685
-1.41233 50.8968
-1.42651 50.9145
-1.44349 50.9305
-1.42108 50.95
-1.39002 50.9306
-1.35325 50.8987
-1.31939 50.8846
-1.30823 50.9006
-1.28844 50.8847
-1.24313 50.8368
-1.20373 50.8369
